학교명,본분교구분,대학구분,학교구분,지역,자치구,설립구분,근거법령,비고
감리교신학대학교,본교,대학,대학교,서울,서대문구,사립,고등교육법(제2조),
건국대학교,본교,대학,대학교,서울,광진구,사립,고등교육법(제2조),
경희대학교,본교,대학,대학교,서울,동대문구,사립,고등교육법(제2조),본분교 통합('12)
고려대학교,본교,대학,대학교,서울,성북구,사립,고등교육법(제2조),고려대학교+고려대학교병설보건대학(일반+전문)('06)
광운대학교,본교,대학,대학교,서울,노원구,사립,고등교육법(제2조),
국민대학교,본교,대학,대학교,서울,성북구,사립,고등교육법(제2조),
덕성여자대학교,본교,대학,대학교,서울,도봉구,사립,고등교육법(제2조),
동국대학교,본교,대학,대학교,서울,중구,사립,고등교육법(제2조),
동덕여자대학교,본교,대학,대학교,서울,성북구,사립,고등교육법(제2조),
삼육대학교,본교,대학,대학교,서울,노원구,사립,고등교육법(제2조),삼육대학교+삼육의명대학(일반+전문)('06)
상명대학교,본교,대학,대학교,서울,종로구,사립,고등교육법(제2조),
서강대학교,본교,대학,대학교,서울,마포구,사립,고등교육법(제2조),
서경대학교,본교,대학,대학교,서울,성북구,사립,고등교육법(제2조),
서울과학기술대학교,본교,대학,대학교,서울,노원구,국립,고등교육법(제2조),"구)서울산업대학교('10 변경), 산업→ 일반('12)"
서울기독대학교,본교,대학,대학교,서울,은평구,사립,고등교육법(제2조),
서울대학교,본교,대학,대학교,서울,관악구,국립대법인,고등교육법(제2조),
서울시립대학교,본교,대학,대학교,서울,동대문구,공립,고등교육법(제2조),
서울여자대학교,본교,대학,대학교,서울,노원구,사립,고등교육법(제2조),
서울한영대학교,본교,대학,대학교,서울,구로구,사립,고등교육법(제2조),구)한영신학대학교('17 변경)
성공회대학교,본교,대학,대학교,서울,구로구,사립,고등교육법(제2조),
성균관대학교,본교,대학,대학교,서울,종로구,사립,고등교육법(제2조),
성신여자대학교,본교,대학,대학교,서울,성북구,사립,고등교육법(제2조),
세종대학교,본교,대학,대학교,서울,광진구,사립,고등교육법(제2조),
숙명여자대학교,본교,대학,대학교,서울,용산구,사립,고등교육법(제2조),
숭실대학교,본교,대학,대학교,서울,동작구,사립,고등교육법(제2조),
연세대학교,본교,대학,대학교,서울,서대문구,사립,고등교육법(제2조),
이화여자대학교,본교,대학,대학교,서울,서대문구,사립,고등교육법(제2조),
장로회신학대학교,본교,대학,대학교,서울,광진구,사립,고등교육법(제2조),
중앙대학교,본교,대학,대학교,서울,동작구,사립,고등교육법(제2조),"중앙대학교+적십자간호대학(일반+전문)('12), 분교(안성)→제2캠퍼스('12)"
총신대학교,본교,대학,대학교,서울,동작구,사립,고등교육법(제2조),
추계예술대학교,본교,대학,대학교,서울,서대문구,사립,고등교육법(제2조),
강서대학교,본교,대학,대학교,서울,강서구,사립,고등교육법(제2조),구)케이씨대학교('22.4.19)
한국성서대학교,본교,대학,대학교,서울,노원구,사립,고등교육법(제2조),
한국외국어대학교,본교,대학,대학교,서울,동대문구,사립,고등교육법(제2조),본분교 통합('14)
한국체육대학교,본교,대학,대학교,서울,송파구,국립,고등교육법(제2조),
한성대학교,본교,대학,대학교,서울,성북구,사립,고등교육법(제2조),
한양대학교,본교,대학,대학교,서울,성동구,사립,고등교육법(제2조),
홍익대학교,본교,대학,대학교,서울,마포구,사립,고등교육법(제2조),
서울교육대학교,본교,대학,교육대학,서울,서초구,국립,고등교육법(제2조),
정석대학,본교,대학,기술대학,서울,강서구,사립,고등교육법(제2조),
한국예술종합학교,본교,대학,각종학교(대학),서울,성북구,특별법국립,고등교육법(제2조),
한국방송통신대학교,본교,대학,방송통신대학,서울,종로구,국립,고등교육법(제2조),
한국폴리텍 I 대학,본교,전문대학,기능대학,서울,용산구,사립,국민 평생 직업 능력 개발법(제39조),"서울강서, 서울정수, 성남, 제주"
서일대학교,본교,전문대학,전문대학(2년제),서울,중랑구,사립,고등교육법(제2조),
숭의여자대학교,본교,전문대학,전문대학(2년제),서울,중구,사립,고등교육법(제2조),
인덕대학교,본교,전문대학,전문대학(2년제),서울,노원구,사립,고등교육법(제2조),
한양여자대학교,본교,전문대학,전문대학(2년제),서울,성동구,사립,고등교육법(제2조),
동양미래대학교,본교,전문대학,전문대학(3년제),서울,구로구,사립,고등교육법(제2조),구)동양공업전문대학('12 변경)
명지전문대학,본교,전문대학,전문대학(3년제),서울,서대문구,사립,고등교육법(제2조),
배화여자대학교,본교,전문대학,전문대학(3년제),서울,종로구,사립,고등교육법(제2조),
삼육보건대학교,본교,전문대학,전문대학(3년제),서울,동대문구,사립,고등교육법(제2조),
서울여자간호대학교,본교,전문대학,전문대학(4년제),서울,서대문구,사립,고등교육법(제2조),3년제→4년제('17)